No,Province city,Region ,General underweight,Moderate underweight,Severe underweight,Very severe underweight,General stunting,Moderate stunting,Severe stunting,Wasting
1,Ha Noi,Red river delta,7.0,6.0,1.0,0.0,15.5,13.0,2.5,2.8
2,Vinh Phuc,Red river delta,15.5,14.2,1.3,0.0,24.8,20.7,4.1,4.2
3,Bac Ninh,Red river delta,11.6,9.8,1.7,0.1,26.9,22.8,4.1,4.3
4,Quang Ninh,Red river delta,15.1,13.1,1.9,0.1,26.5,16.7,9.8,7.8
5,Hai Duong,Red river delta,12.8,11.6,1.1,0.1,22.0,16.3,5.7,5.8
6,Hai Phong,Red river delta,8.9,7.3,1.5,0.1,20.0,17.0,3.0,5.4
7,Hung Yen,Red river delta,13.4,12.2,1.2,0.0,25.1,22.0,3.1,7.5
8,Thai Binh,Red river delta,14.9,12.9,1.9,0.1,25.9,21.0,4.9,7.4
9,Ha Nam,Red river delta,14.6,13.3,1.2,0.1,23.9,20.2,3.7,6.3
10,Nam Dinh,Red river delta,13.6,11.7,1.9,0.0,21.6,18.6,3.0,5.3
11,Ninh Binh,Red river delta,15.4,14.4,1.0,0.0,25.7,21.8,3.9,3.3
12,Ha Giang,Northern midlands and mountain areas,23.5,14.0,9.2,0.3,35.4,19.9,15.5,9.8
13,Cao Bang,Northern midlands and mountain areas,21.0,16.4,4.4,0.2,34.0,21.1,12.9,6.7
14,Bac Kan,Northern midlands and mountain areas,20.6,17.1,3.4,0.1,30.8,22.5,8.3,10.4
15,Tuyen Quang,Northern midlands and mountain areas,18.8,17.0,1.6,0.2,27.2,17.4,9.8,8.5
16,Lao Cai,Northern midlands and mountain areas,22.1,18.3,3.5,0.3,37.3,23.7,13.6,4.9
17,Yen Bai,Northern midlands and mountain areas,19.2,16.5,2.5,0.2,30.4,20.5,9.9,10.2
18,Thai Nguyen,Northern midlands and mountain areas,15.9,14.4,1.4,0.1,25.0,15.5,9.5,3.9
19,Lang Son ,Northern midlands and mountain areas,19.7,16.3,3.3,0.1,27.6,17.7,9.9,10.6
20,Bac Giang,Northern midlands and mountain areas,16.6,14.0,2.4,0.2,27.9,17.7,10.2,7.3
21,Phu Tho,Northern midlands and mountain areas,16.0,13.8,2.0,0.2,26.9,17.1,9.8,8.0
22,Dien Bien,Northern midlands and mountain areas,19.7,16.6,2.9,0.2,32.2,18.2,14.0,5.0
23,Lai Chau,Northern midlands and mountain areas,23.9,19.2,4.4,0.3,36.8,17.5,19.3,4.9
24,Son La,Northern midlands and mountain areas,22.1,16.0,5.8,0.3,34.7,19.7,15.0,12.4
25,Hoa Binh,Northern midlands and mountain areas,19.5,16.9,2.5,0.1,26.7,16.1,10.6,5.7
26,Thanh Hoa,Northern central and central coastal areas,19.7,17.8,1.7,0.2,30.2,22.0,8.2,7.0
27,Nghe An,Northern central and central coastal areas,18.8,15.4,3.2,0.2,29.4,20.7,8.7,6.0
28,Ha Tinh,Northern central and central coastal areas,18.0,15.7,2.1,0.2,30.7,23.3,7.4,6.0
29,Quang Binh,Northern central and central coastal areas,19.8,19.2,0.5,0.1,30.8,21.9,8.9,6.5
30,Quang Tri,Northern central and central coastal areas,16.0,14.1,1.9,0.0,29.8,20.6,9.2,6.6
31,Thua Thien Hue,Northern central and central coastal areas,13.4,11.8,1.6,0.0,26.4,17.9,8.5,6.0
32,Da Nang,Northern central and central coastal areas,5.2,4.2,1.0,0.0,15.7,8.7,7.0,5.5
33,Quang Nam,Northern central and central coastal areas,14.8,12.9,1.9,0.0,28.6,19.4,9.2,5.8
34,Quang Ngai,Northern central and central coastal areas,15.9,12.9,2.9,0.1,25.5,14.9,10.6,5.7
35,Binh Dinh ,Northern central and central coastal areas,15.8,14.6,1.1,0.1,25.6,15.8,9.8,5.7
36,Phu Yen,Northern central and central coastal areas,16.6,14.2,2.2,0.2,29.3,20.4,8.9,6.3
37,Khanh Hoa,Northern central and central coastal areas,12.7,9.1,3.5,0.1,24.0,15.0,9.0,5.7
38,Ninh Thuan,Northern central and central coastal areas,20.0,15.6,4.3,0.1,27.5,18.3,9.2,6.1
39,Binh Thuan,Northern central and central coastal areas,16.3,14.9,1.2,0.2,29.4,18.5,10.9,8.8
40,Kon Tum,Central highlands,26.1,20.6,5.0,0.5,40.8,21.6,19.2,6.8
41,Gia Lai,Central highlands,24.8,18.6,5.9,0.3,35.5,20.9,14.6,7.1
42,Dak Lak,Central highlands,23.4,20.4,2.7,0.3,33.8,19.0,14.8,6.0
43,Dak Nong,Central highlands,23.6,19.9,3.5,0.2,34.2,20.0,14.2,7.9
44,Lam Dong,Central highlands,13.1,11.6,1.4,0.1,24.0,14.0,10.0,5.4
45,Binh Phuoc,South east,16.7,14.7,1.8,0.2,29.1,17.1,13.0,7.9
46,Tay Ninh,South east,14.3,13.0,1.2,0.1,24.6,14.0,10.6,5.6
47,Binh Duong,South east,9.7,8.8,0.8,0.1,22.5,13.6,8.9,5.7
48,Dong Nai,South east,10.4,8.1,2.2,0.1,26.7,17.2,9.5,5.4
49,Ba Ria Vung Tau,South east,8.5,7.6,0.9,0.0,21.6,11.7,9.9,5.9
50,Tp.Ho Chi Minh,South east,4.1,3.7,0.4,0.0,6.7,4.2,2.5,2.7
51,Long An,Mekong river delta,10.1,9.3,0.7,0.1,20.8,12.1,8.7,5.9
52,Tien Giang,Mekong river delta,12.5,11.1,1.4,0.0,25.4,16.5,8.9,7.9
53,Ben Tre,Mekong river delta,12.6,11.3,1.2,0.1,23.1,15.3,7.8,6.2
54,Tra Vinh,Mekong river delta,15.9,15.1,0.7,0.1,24.9,17.0,7.9,8.2
55,Vinh Long,Mekong river delta,15.3,14.1,1.1,0.1,24.4,16.8,7.6,5.6
56,Dong Thap,Mekong river delta,15.0,12.5,2.4,0.1,26.6,16.4,10.2,7.5
57,An Giang,Mekong river delta,14.3,11.9,2.2,0.2,24.9,15.1,9.8,6.6
58,Kien Giang,Mekong river delta,14.3,11.6,2.7,0.0,22.8,14.1,8.7,6.7
59,Can Tho,Mekong river delta,11.7,10.4,1.2,0.1,22.7,15.7,7.0,6.5
60,Hau Giang,Mekong river delta,15.3,13.2,2.0,0.1,27.0,18.2,8.8,6.1
61,Soc Trang,Mekong river delta,15.0,13.5,1.5,0.0,26.7,16.8,9.9,6.4
62,Bac Lieu,Mekong river delta,14.9,11.7,3.2,0.0,25.7,15.9,9.8,7.0
63,Ca Mau,Mekong river delta,13.9,12.5,1.4,0.0,25.0,15.1,9.9,8.4
